date,product,region,quantity,unit_price,customer_id,total
2026-02-24,Service Pro,Ghana-Accra,19,96.12,1915,1826.2800000000002
2026-01-07,Widget B,Ghana-Accra,47,159.63,5425,7502.61
2026-02-16,Gadget Y,Rwanda-Huye,14,194.86,5724,2728.04
2026-02-22,Service Pro,Rwanda-Kigali,37,173.17,1927,6407.29
2025-12-10,Gadget Y,Rwanda-Huye,4,151.8,3144,607.2
2026-02-15,Gadget Y,Rwanda-Huye,3,23.05,8875,69.15
2026-01-25,Widget A,Ghana-Accra,48,89.41,4988,4291.68
2026-01-18,Widget A,Rwanda-Kigali,9,139.5,7716,1255.5
2026-02-17,Widget A,Rwanda-Kigali,40,82.15,4274,3286.0
2025-12-30,Gadget X,Ghana-Kumasi,33,164.37,1770,5424.21
2026-01-30,Widget A,Ghana-Kumasi,32,100.56,1688,3217.92
2026-02-22,Widget A,Rwanda-Kigali,11,76.72,2410,843.92
2025-12-16,Service Pro,Rwanda-Huye,34,183.17,3732,6227.78
2026-03-06,Gadget X,Rwanda-Huye,21,93.35,5519,1960.35
2026-02-24,Service Pro,Rwanda-Kigali,13,173.95,3506,2261.35
2025-12-26,Widget B,Rwanda-Kigali,5,181.33,8809,906.6500000000001
2025-12-26,Widget B,Ghana-Kumasi,16,28.19,6257,451.04
2025-12-28,Service Pro,Ghana-Kumasi,16,34.53,4560,552.48
2026-01-06,Widget A,Rwanda-Kigali,16,141.96,4070,2271.36
2026-02-27,Gadget X,Ghana-Accra,16,147.31,9407,2356.96
2026-02-14,Service Pro,Rwanda-Huye,40,30.02,8988,1200.8
2026-02-26,Gadget X,Ghana-Accra,19,66.82,3153,1269.58
2026-02-14,Service Pro,Rwanda-Huye,16,65.42,1073,1046.72
2026-02-25,Gadget Y,Ghana-Accra,31,182.21,8266,5648.51
2025-12-11,Gadget Y,Rwanda-Huye,42,93.97,8610,3946.74
2026-01-18,Widget B,Rwanda-Huye,23,160.89,9181,3700.47
2026-02-02,Service Pro,Rwanda-Huye,22,16.3,7500,358.6
2026-02-27,Gadget X,Rwanda-Huye,45,102.33,7216,4604.85
2026-02-01,Widget B,Ghana-Accra,34,51.9,3576,1764.6
2026-03-01,Widget B,Ghana-Accra,13,51.3,7915,666.9
2026-02-22,Gadget Y,Ghana-Accra,41,69.33,4950,2842.5299999999997
2026-01-13,Widget A,Rwanda-Kigali,27,59.45,6909,1605.15
2026-02-10,Widget A,Ghana-Kumasi,22,75.4,5052,1658.8000000000002
2025-12-22,Service Pro,Ghana-Accra,15,84.27,8132,1264.05
2025-12-23,Widget B,Rwanda-Huye,26,193.91,4140,5041.66
2026-03-03,Widget A,Rwanda-Huye,1,199.77,9123,199.77
2026-01-25,Gadget X,Ghana-Kumasi,22,60.45,2681,1329.9
2026-02-11,Gadget X,Ghana-Accra,10,160.67,3410,1606.6999999999998
2026-01-15,Widget B,Rwanda-Kigali,33,144.78,3051,4777.74
2026-01-11,Gadget X,Rwanda-Kigali,26,161.81,7194,4207.06
2026-03-04,Widget A,Rwanda-Huye,41,95.61,5684,3920.0099999999998
2026-02-21,Widget B,Rwanda-Kigali,3,188.34,8031,565.02
2025-12-08,Gadget Y,Ghana-Accra,27,190.36,8536,5139.72
2025-12-25,Service Pro,Ghana-Kumasi,45,140.39,1142,6317.549999999999
2026-02-13,Service Pro,Ghana-Accra,45,95.69,6396,4306.05
2026-01-30,Gadget Y,Rwanda-Kigali,45,153.31,3356,6898.95
2026-01-05,Gadget X,Ghana-Accra,40,180.9,3181,7236.0
2025-12-22,Gadget Y,Ghana-Accra,10,132.78,4441,1327.8
2026-02-21,Gadget X,Rwanda-Huye,39,65.03,2388,2536.17
2026-01-13,Widget B,Ghana-Kumasi,24,12.1,8650,290.4
2026-01-11,Widget B,Ghana-Kumasi,23,91.36,1652,2101.28
2025-12-17,Gadget X,Rwanda-Huye,33,198.04,1595,6535.32
2026-01-20,Gadget X,Rwanda-Kigali,23,106.31,4767,2445.13
2025-12-24,Widget B,Ghana-Kumasi,13,194.45,4845,2527.85
2026-02-14,Service Pro,Ghana-Accra,30,71.01,7154,2130.3
2026-02-01,Widget A,Ghana-Kumasi,8,134.19,6227,1073.52
2026-01-27,Gadget X,Ghana-Kumasi,17,151.17,6472,2569.89
2025-12-09,Gadget Y,Rwanda-Huye,14,96.88,8457,1356.32
2026-03-06,Widget A,Rwanda-Huye,47,144.81,4081,6806.07
2025-12-08,Gadget Y,Ghana-Accra,11,110.28,4075,1213.08
2026-01-05,Gadget Y,Rwanda-Huye,22,142.87,7790,3143.1400000000003
2025-12-30,Gadget Y,Rwanda-Kigali,39,27.66,7801,1078.74
2026-02-01,Widget A,Ghana-Kumasi,1,53.22,4151,53.22
2026-02-05,Gadget X,Rwanda-Kigali,15,150.11,1766,2251.65
2025-12-26,Service Pro,Ghana-Accra,12,98.26,9470,1179.1200000000001
2025-12-24,Gadget X,Ghana-Accra,11,69.11,4610,760.21
2026-01-11,Service Pro,Rwanda-Kigali,27,97.01,4161,2619.27
2026-02-08,Widget A,Ghana-Kumasi,26,132.02,8557,3432.5200000000004
2026-01-07,Service Pro,Rwanda-Kigali,5,28.27,4359,141.35
2025-12-20,Widget B,Ghana-Accra,39,166.0,6731,6474.0
2026-02-12,Widget A,Rwanda-Kigali,16,184.25,1454,2948.0
2026-02-27,Widget A,Rwanda-Huye,11,130.34,3199,1433.74
2025-12-16,Gadget X,Rwanda-Kigali,2,119.78,7742,239.56
2026-02-10,Widget B,Rwanda-Huye,5,134.1,5927,670.5
2026-01-13,Gadget Y,Rwanda-Kigali,32,196.0,3380,6272.0
2026-02-11,Gadget Y,Ghana-Accra,21,79.79,7400,1675.5900000000001
2026-01-05,Service Pro,Rwanda-Huye,38,132.54,4112,5036.5199999999995
2026-02-19,Widget B,Ghana-Kumasi,42,126.81,1264,5326.02
2025-12-20,Gadget X,Ghana-Kumasi,43,67.55,6282,2904.65
2026-02-16,Service Pro,Rwanda-Huye,12,60.93,6929,731.16
2025-12-17,Service Pro,Ghana-Accra,16,131.75,6188,2108.0
2026-03-03,Service Pro,Ghana-Accra,9,96.37,6074,867.33
2026-01-02,Gadget X,Ghana-Kumasi,27,170.33,9500,4598.910000000001
2026-02-06,Widget B,Ghana-Kumasi,14,174.06,2440,2436.84
2025-12-25,Gadget Y,Ghana-Kumasi,21,49.9,5534,1047.8999999999999
2026-01-06,Widget B,Rwanda-Kigali,1,45.78,8131,45.78
2026-02-01,Gadget X,Ghana-Kumasi,48,25.95,7471,1245.6
2026-02-04,Widget A,Ghana-Accra,38,93.24,5849,3543.12
2025-12-21,Gadget Y,Rwanda-Huye,7,159.21,3231,1114.47
2026-03-07,Service Pro,Rwanda-Kigali,44,179.94,2114,7917.36
2026-02-23,Gadget Y,Ghana-Kumasi,14,73.27,9277,1025.78
2026-01-23,Gadget Y,Rwanda-Kigali,1,127.95,5265,127.95
2026-03-04,Gadget X,Rwanda-Kigali,27,127.93,7827,3454.11
2026-02-06,Gadget X,Ghana-Kumasi,38,44.18,8720,1678.84
2026-01-09,Widget B,Ghana-Kumasi,44,24.51,4791,1078.44
2026-01-09,Widget A,Rwanda-Kigali,47,115.29,9575,5418.63
2025-12-21,Service Pro,Ghana-Kumasi,50,161.3,4325,8065.000000000001
2026-01-14,Service Pro,Rwanda-Kigali,2,25.14,5603,50.28
2026-02-10,Gadget X,Ghana-Kumasi,19,195.19,7027,3708.61
2026-01-06,Widget A,Ghana-Kumasi,44,123.24,2464,5422.5599999999995
2026-02-24,Service Pro,Rwanda-Huye,30,107.17,1119,3215.1
2026-02-13,Gadget X,Rwanda-Huye,33,128.47,2864,4239.51
2026-01-25,Gadget Y,Ghana-Accra,29,66.5,6455,1928.5
2026-01-06,Gadget X,Ghana-Kumasi,11,90.18,2439,991.98
2026-03-05,Widget B,Rwanda-Kigali,12,191.01,3334,2292.12
2026-02-07,Widget B,Rwanda-Huye,21,21.77,6683,457.17
2026-03-02,Widget B,Ghana-Kumasi,34,105.84,1852,3598.56
2026-02-18,Widget A,Rwanda-Huye,45,139.85,1395,6293.25
2025-12-27,Gadget X,Ghana-Accra,50,82.03,6296,4101.5
2026-01-25,Service Pro,Rwanda-Huye,7,118.68,5252,830.76
2025-12-17,Gadget X,Ghana-Kumasi,15,162.18,1609,2432.7000000000003
2026-02-13,Gadget X,Rwanda-Kigali,43,130.03,5271,5591.29
2026-02-21,Gadget X,Ghana-Accra,3,158.16,9685,474.48
2025-12-31,Gadget Y,Rwanda-Kigali,22,195.85,6479,4308.7
2026-01-19,Service Pro,Ghana-Accra,18,35.79,1097,644.22
2026-02-20,Gadget Y,Rwanda-Kigali,28,73.81,8466,2066.6800000000003
2026-02-19,Widget B,Rwanda-Huye,21,24.79,8133,520.59
2026-03-06,Widget B,Ghana-Accra,41,41.05,6157,1683.05
2025-12-29,Service Pro,Ghana-Accra,10,157.57,1242,1575.6999999999998
2025-12-23,Widget A,Rwanda-Huye,10,169.25,9175,1692.5
2025-12-12,Gadget Y,Ghana-Accra,44,81.68,7832,3593.92
2025-12-24,Gadget X,Rwanda-Kigali,16,26.85,4916,429.6
2025-12-23,Gadget Y,Rwanda-Huye,43,51.08,8858,2196.44
2026-01-15,Widget A,Ghana-Accra,34,157.98,9967,5371.32
2025-12-19,Gadget Y,Rwanda-Kigali,45,76.16,5925,3427.2
2026-01-26,Widget A,Ghana-Accra,49,45.4,2729,2224.6
2026-01-25,Gadget X,Rwanda-Huye,5,121.9,4915,609.5
2026-02-23,Service Pro,Ghana-Kumasi,4,29.62,9149,118.48
2025-12-09,Gadget Y,Ghana-Accra,37,57.79,1836,2138.23
2026-01-04,Gadget Y,Ghana-Accra,46,110.22,4141,5070.12
2025-12-07,Service Pro,Ghana-Accra,18,117.23,7475,2110.14
2026-03-05,Widget B,Ghana-Kumasi,24,132.25,4409,3174.0
2025-12-08,Widget B,Ghana-Kumasi,40,52.34,1485,2093.6000000000004
2026-01-07,Gadget Y,Ghana-Kumasi,17,153.57,1062,2610.69
2025-12-09,Widget B,Ghana-Kumasi,17,10.86,3198,184.62
2026-01-04,Widget A,Ghana-Kumasi,20,117.23,9618,2344.6
2026-02-24,Widget B,Ghana-Accra,1,192.71,2182,192.71
2025-12-15,Widget B,Ghana-Kumasi,3,158.31,7653,474.93
2026-02-22,Gadget X,Rwanda-Huye,5,66.0,8591,330.0
2025-12-16,Gadget X,Ghana-Kumasi,29,54.35,9004,1576.15
2026-02-10,Gadget X,Rwanda-Huye,49,107.53,3007,5268.97
2026-03-03,Widget A,Ghana-Kumasi,50,132.43,6214,6621.5
2025-12-31,Widget B,Ghana-Accra,18,44.46,3531,800.28
2025-12-19,Widget B,Rwanda-Kigali,14,115.12,2117,1611.68
2025-12-08,Widget B,Ghana-Kumasi,3,103.34,6842,310.02
2026-02-18,Gadget X,Rwanda-Kigali,14,26.72,7357,374.08
2026-02-15,Widget B,Ghana-Kumasi,29,143.16,6442,4151.64
2026-01-12,Widget A,Ghana-Accra,36,43.34,7330,1560.2400000000002
2026-01-01,Widget B,Rwanda-Kigali,34,47.79,3844,1624.86
2026-02-11,Widget A,Rwanda-Kigali,46,105.39,5310,4847.94
2026-02-27,Gadget X,Ghana-Accra,30,84.14,7613,2524.2
2026-01-25,Service Pro,Rwanda-Kigali,23,105.66,3923,2430.18
2026-01-04,Widget A,Ghana-Kumasi,49,166.1,1863,8138.9
2026-02-18,Service Pro,Ghana-Kumasi,48,163.98,6782,7871.039999999999
2026-01-30,Widget A,Rwanda-Huye,16,167.41,6085,2678.56
2025-12-25,Gadget Y,Rwanda-Kigali,17,33.67,1751,572.39
2025-12-08,Gadget X,Rwanda-Huye,10,31.37,6061,313.7
2026-01-21,Gadget Y,Rwanda-Kigali,44,27.36,5675,1203.84
2026-01-26,Gadget Y,Rwanda-Huye,23,156.7,8105,3604.1
2026-01-23,Widget A,Ghana-Kumasi,36,167.85,3852,6042.599999999999
2026-01-21,Widget A,Ghana-Accra,11,38.21,9494,420.31
2026-01-22,Widget B,Rwanda-Huye,39,97.14,2294,3788.46
2025-12-16,Service Pro,Rwanda-Kigali,23,98.35,5066,2262.0499999999997
2026-02-16,Gadget X,Rwanda-Huye,21,37.94,8459,796.74
2026-03-07,Widget B,Rwanda-Huye,1,101.54,8813,101.54
2026-01-30,Gadget X,Rwanda-Huye,2,12.92,5455,25.84
2025-12-30,Gadget X,Rwanda-Huye,10,51.49,6886,514.9
2026-01-01,Widget B,Rwanda-Huye,13,165.76,3582,2154.88
2025-12-31,Widget B,Rwanda-Huye,5,145.52,1946,727.6
2026-01-07,Widget B,Rwanda-Kigali,48,127.27,5864,6108.96
2025-12-16,Gadget X,Ghana-Kumasi,39,109.36,7724,4265.04
2026-02-08,Widget B,Rwanda-Kigali,10,153.4,2795,1534.0
2025-12-31,Service Pro,Ghana-Kumasi,28,81.91,2130,2293.48
2026-03-05,Widget A,Rwanda-Huye,39,52.88,5376,2062.32
2026-03-07,Widget B,Ghana-Kumasi,21,87.09,2606,1828.89
2025-12-31,Gadget X,Rwanda-Huye,45,15.1,9458,679.5
2026-01-12,Service Pro,Ghana-Accra,26,151.0,3310,3926.0
2026-02-02,Widget B,Ghana-Accra,14,118.93,9166,1665.02
2026-03-04,Widget A,Ghana-Kumasi,45,124.22,7957,5589.9
2026-02-13,Widget A,Rwanda-Kigali,26,182.76,6328,4751.76
2026-02-14,Widget B,Ghana-Kumasi,17,152.78,5266,2597.26
2026-02-22,Service Pro,Ghana-Accra,28,147.39,4884,4126.92
2026-01-06,Gadget X,Ghana-Kumasi,28,155.83,8946,4363.240000000001
2025-12-12,Gadget X,Ghana-Accra,39,128.53,2025,5012.67
2026-01-28,Widget A,Ghana-Kumasi,38,162.22,6710,6164.36
2026-01-07,Gadget X,Rwanda-Kigali,4,25.89,9521,103.56
2026-01-22,Widget A,Rwanda-Huye,32,193.93,6706,6205.76
2026-01-04,Widget A,Rwanda-Huye,25,80.63,6249,2015.75
2026-02-10,Widget B,Ghana-Kumasi,5,112.81,8640,564.05
2026-01-06,Gadget X,Rwanda-Kigali,29,127.88,6330,3708.52
2026-01-13,Widget A,Rwanda-Kigali,19,197.73,5547,3756.87
2025-12-22,Widget B,Ghana-Kumasi,49,163.87,7775,8029.63
2025-12-24,Widget A,Ghana-Kumasi,5,36.45,8033,182.25
2026-01-31,Gadget X,Ghana-Accra,12,112.48,4432,1349.76
2026-02-01,Widget A,Ghana-Kumasi,27,187.72,5525,5068.44
2026-01-09,Widget A,Ghana-Accra,12,92.28,2239,1107.3600000000001
2025-12-12,Gadget Y,Ghana-Accra,49,94.15,3503,4613.35
2026-01-16,Service Pro,Ghana-Kumasi,44,199.24,4692,8766.560000000001
2026-01-30,Widget B,Rwanda-Huye,50,22.2,3884,1110.0
2025-12-25,Gadget X,Rwanda-Huye,12,75.46,6127,905.52
2025-12-14,Service Pro,Rwanda-Kigali,48,152.37,5756,7313.76
2026-01-30,Widget A,Rwanda-Huye,18,121.22,8639,2181.96
2025-12-22,Widget A,Ghana-Accra,20,77.34,1175,1546.8000000000002
2026-01-28,Widget A,Ghana-Kumasi,20,160.51,5950,3210.2
2026-01-23,Gadget X,Rwanda-Kigali,8,81.03,4467,648.24
2026-01-24,Widget B,Ghana-Accra,13,53.2,1941,691.6
2026-03-02,Service Pro,Ghana-Kumasi,12,44.24,4912,530.88
2025-12-19,Widget A,Ghana-Kumasi,11,166.48,6842,1831.28
2026-03-05,Service Pro,Ghana-Accra,48,159.33,3021,7647.84
2026-02-20,Service Pro,Ghana-Kumasi,13,194.46,8344,2527.98
2026-01-25,Widget B,Ghana-Accra,14,136.31,7483,1908.3400000000001
2026-02-22,Widget B,Ghana-Kumasi,31,192.55,1622,5969.05
2026-02-07,Gadget X,Rwanda-Kigali,28,37.39,2360,1046.92
2025-12-22,Widget A,Rwanda-Kigali,50,37.04,6981,1852.0
2026-01-16,Gadget Y,Ghana-Accra,24,186.1,4959,4466.4
2026-01-27,Service Pro,Rwanda-Kigali,22,90.66,6567,1994.52
2026-01-10,Widget A,Rwanda-Huye,12,168.03,7891,2016.3600000000001
2026-01-04,Widget B,Ghana-Accra,8,21.06,8932,168.48
2026-02-09,Service Pro,Rwanda-Huye,24,38.76,6498,930.24
2026-02-07,Gadget X,Rwanda-Kigali,43,105.6,2638,4540.8
2026-02-17,Widget A,Ghana-Accra,19,148.94,8224,2829.86
2026-02-20,Gadget X,Ghana-Accra,13,102.43,3441,1331.5900000000001
2025-12-20,Gadget X,Rwanda-Huye,9,163.41,8174,1470.69
2026-01-12,Gadget Y,Ghana-Accra,21,52.59,9954,1104.39
2026-01-12,Gadget Y,Rwanda-Kigali,33,156.44,6335,5162.5199999999995
2026-02-25,Service Pro,Ghana-Accra,25,69.37,9334,1734.25
2026-02-24,Gadget X,Rwanda-Huye,19,124.25,9862,2360.75
2025-12-14,Widget A,Rwanda-Kigali,11,153.48,6756,1688.28
2026-02-14,Service Pro,Rwanda-Kigali,42,152.31,1138,6397.02
2026-02-07,Service Pro,Ghana-Accra,12,31.83,5546,381.96
2026-01-09,Widget B,Rwanda-Huye,43,187.56,8425,8065.08
2026-01-19,Gadget X,Ghana-Kumasi,19,25.5,3452,484.5
2026-02-19,Widget A,Ghana-Kumasi,29,36.39,6510,1055.31
2025-12-21,Widget A,Ghana-Kumasi,15,147.93,2498,2218.9500000000003
2026-02-09,Gadget Y,Rwanda-Kigali,10,26.19,9464,261.90000000000003
2025-12-29,Gadget Y,Rwanda-Huye,18,150.37,7596,2706.66
2026-02-23,Gadget Y,Ghana-Accra,15,93.64,8154,1404.6
2026-01-18,Widget A,Ghana-Accra,11,46.79,6177,514.6899999999999
2026-02-11,Gadget Y,Ghana-Accra,47,184.19,8012,8656.93
2026-03-07,Gadget Y,Ghana-Accra,3,123.03,4469,369.09000000000003
2026-03-06,Widget A,Rwanda-Huye,29,198.62,7205,5759.9800000000005
2026-01-20,Widget B,Ghana-Accra,31,75.45,5068,2338.9500000000003
2026-01-11,Widget B,Ghana-Accra,14,72.67,6046,1017.38
2026-03-07,Gadget X,Rwanda-Kigali,32,177.39,2349,5676.48
2025-12-13,Service Pro,Rwanda-Kigali,8,74.21,1869,593.68
2025-12-30,Gadget Y,Rwanda-Huye,25,166.7,5879,4167.5
2025-12-15,Gadget Y,Rwanda-Huye,1,92.4,2985,92.4
2025-12-11,Gadget Y,Ghana-Accra,20,64.81,3863,1296.2
2026-02-08,Widget B,Ghana-Kumasi,47,70.74,2971,3324.7799999999997
2026-01-23,Gadget Y,Rwanda-Huye,10,156.83,4996,1568.3000000000002
2026-01-14,Gadget Y,Ghana-Accra,31,14.78,4455,458.18
2026-02-11,Gadget Y,Ghana-Accra,15,173.6,8509,2604.0
2025-12-10,Gadget X,Rwanda-Huye,14,51.13,7174,715.82
2026-01-07,Service Pro,Ghana-Kumasi,21,40.38,2643,847.98
2026-01-02,Gadget Y,Rwanda-Huye,11,145.43,1507,1599.73
2026-02-06,Gadget X,Ghana-Accra,22,38.04,5274,836.88
2026-02-05,Widget B,Rwanda-Kigali,38,186.86,4087,7100.68
2026-01-21,Service Pro,Ghana-Accra,15,67.49,8045,1012.3499999999999
2026-01-21,Service Pro,Rwanda-Huye,16,125.83,5220,2013.28
2025-12-14,Service Pro,Ghana-Kumasi,39,135.46,9153,5282.9400000000005
2026-02-02,Gadget X,Rwanda-Kigali,3,49.95,1676,149.85000000000002
2026-02-13,Gadget X,Rwanda-Kigali,44,110.64,3940,4868.16
2026-01-05,Widget B,Ghana-Accra,45,155.95,6582,7017.749999999999
2025-12-24,Service Pro,Rwanda-Huye,36,82.63,1803,2974.68
2026-02-14,Gadget X,Rwanda-Huye,31,36.62,7731,1135.22
2025-12-21,Service Pro,Ghana-Kumasi,10,52.31,9361,523.1
2025-12-30,Widget A,Ghana-Kumasi,37,103.89,8466,3843.93
2026-01-30,Service Pro,Rwanda-Kigali,6,76.91,9153,461.46
2026-02-13,Service Pro,Rwanda-Kigali,35,128.13,1696,4484.55
2026-01-28,Gadget X,Ghana-Accra,35,182.46,2172,6386.1
2026-01-13,Widget B,Ghana-Kumasi,48,123.71,6391,5938.08
2025-12-16,Gadget Y,Ghana-Kumasi,27,111.98,6039,3023.46
2026-02-12,Widget A,Ghana-Kumasi,21,176.78,8791,3712.38
2026-02-13,Widget A,Rwanda-Huye,30,119.76,7280,3592.8
2026-02-26,Service Pro,Ghana-Accra,17,86.35,9049,1467.9499999999998
2025-12-29,Service Pro,Rwanda-Huye,30,28.45,6266,853.5
2026-03-07,Gadget Y,Rwanda-Huye,26,167.82,9711,4363.32
2026-01-09,Gadget Y,Rwanda-Kigali,20,84.83,9475,1696.6
2026-03-06,Widget A,Rwanda-Kigali,16,96.22,6344,1539.52
2026-02-19,Gadget X,Ghana-Kumasi,41,180.17,9754,7386.969999999999
2026-01-21,Gadget X,Ghana-Kumasi,14,139.19,5794,1948.6599999999999
2026-02-26,Gadget X,Rwanda-Kigali,33,179.44,7468,5921.5199999999995
2026-03-06,Gadget Y,Ghana-Kumasi,29,107.87,1265,3128.23
2026-01-15,Gadget X,Rwanda-Kigali,20,19.9,4802,398.0
2026-01-06,Gadget X,Rwanda-Kigali,24,102.39,9389,2457.36
2025-12-24,Widget A,Ghana-Kumasi,36,105.19,9238,3786.84
2026-01-26,Gadget X,Rwanda-Huye,28,150.39,7978,4210.92
2026-02-05,Widget A,Rwanda-Kigali,32,55.59,5818,1778.88
2026-01-01,Service Pro,Rwanda-Huye,4,79.66,2087,318.64
2026-02-24,Gadget X,Rwanda-Huye,9,98.08,1181,882.72
2025-12-13,Widget A,Ghana-Kumasi,15,64.28,1916,964.2
2026-01-26,Service Pro,Rwanda-Kigali,10,143.35,1273,1433.5
2025-12-10,Widget B,Rwanda-Kigali,24,67.35,5587,1616.3999999999999
2026-01-31,Gadget Y,Rwanda-Kigali,33,115.19,5592,3801.27
2026-02-17,Widget A,Rwanda-Kigali,31,191.13,1325,5925.03
2026-01-30,Widget A,Rwanda-Kigali,14,41.25,1483,577.5
2026-03-02,Widget A,Ghana-Accra,33,162.16,2961,5351.28
2026-01-16,Gadget Y,Rwanda-Huye,34,57.0,3170,1938.0
2026-01-11,Widget B,Ghana-Accra,9,26.3,7944,236.70000000000002
2026-02-16,Service Pro,Rwanda-Kigali,10,48.24,4675,482.40000000000003
2026-03-03,Service Pro,Ghana-Accra,16,152.74,5799,2443.84
2025-12-16,Widget A,Rwanda-Huye,8,77.17,4003,617.36
2026-02-12,Gadget X,Ghana-Kumasi,41,62.76,1167,2573.16
2026-02-04,Widget A,Ghana-Accra,42,143.9,2167,6043.8
2026-01-12,Service Pro,Ghana-Accra,26,185.83,2579,4831.58
2026-01-29,Gadget X,Ghana-Kumasi,20,163.11,9937,3262.2000000000003
2026-01-29,Widget B,Rwanda-Huye,32,117.38,5247,3756.16
2026-02-18,Gadget X,Rwanda-Huye,16,47.85,7927,765.6
2025-12-15,Widget A,Ghana-Kumasi,38,96.15,8381,3653.7000000000003
2025-12-22,Widget A,Rwanda-Kigali,38,130.72,6568,4967.36
2026-02-18,Gadget Y,Ghana-Kumasi,3,195.42,3645,586.26
2025-12-08,Widget B,Ghana-Accra,9,137.57,1984,1238.1299999999999
2026-02-16,Widget B,Ghana-Accra,36,27.25,4085,981.0
2026-01-05,Widget A,Ghana-Kumasi,31,123.23,2691,3820.13
2026-02-26,Service Pro,Ghana-Accra,42,118.96,1044,4996.32
2026-01-20,Service Pro,Ghana-Kumasi,30,86.26,5421,2587.8
2026-01-25,Gadget X,Ghana-Kumasi,4,135.21,5082,540.84
2026-01-15,Service Pro,Rwanda-Huye,11,112.32,6004,1235.52
2026-01-08,Gadget X,Ghana-Accra,32,66.44,9048,2126.08
2026-01-05,Widget A,Ghana-Accra,16,141.46,5807,2263.36
2025-12-18,Widget A,Rwanda-Huye,2,38.27,7574,76.54
2026-01-29,Service Pro,Rwanda-Kigali,4,63.58,5371,254.32
2025-12-28,Gadget Y,Ghana-Kumasi,41,23.35,6408,957.35
2026-02-19,Gadget Y,Rwanda-Kigali,27,63.11,1902,1703.97
2025-12-12,Gadget Y,Rwanda-Huye,50,76.78,6015,3839.0
2026-01-10,Widget B,Rwanda-Kigali,30,156.5,9992,4695.0
2026-02-05,Widget B,Rwanda-Huye,13,60.15,9065,781.9499999999999
2026-01-15,Widget A,Rwanda-Kigali,41,110.77,4070,4541.57
